	0	19	0	1072025	31072025	SUPERMERCADO FRUTILÂNDIA LTDA	4,79296E+12		MS	283206993	5007901			A	1																							
	C170	6	PROD16311	IOGURTE NESTLE BI CAMADA 150G MGO	6	UN	20,7	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD30546	SOBREMESA CHANDELLE 180G CHOCOLATE	6	UN	31,08	0	0	0	1102	NAT01102	31,08	17	5,28	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	8	PROD16396	REQUEIJAO NESTLE 200G	20	UN	185,8	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	9	PROD16395	REQUEIJAO NESTLE 200G LIGHT	15	UN	139,35	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	10	PROD7362	NHOQUE BATATA MEZZANI 500G	6	UN	81	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	11	PROD7361	RAVIOLI MEZZANI 400G FRANGO	2	UN	22,72	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	12	PROD7363	TALHARIM MEZZANI 500GR	2	UN	24,7	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	31,08	31,08	5,28	0	0	0	0																											
	C190	60	1403	0	817,37	0	0	0	0	0	0																											
	C100	0	1	FORN403	55	0	0	260698	5,02507E+43	18072025	21072025	4,53	2	0	0	4,53	9	0	0	0	0	0	0	0	0	0	0	0	0									
	C170	1	PROD16518	CHAMYTO CEREAL 130G CHOCOLATE	1	UN	4,53	0	0	60	1910	NAT01910	0	0	0	0	0	0				0	0	0	98	0	0			0	98	0	0			0		0
	C190	60	1910	0	4,53	0	0	0	0	0	0																											
	C100	0	1	FORN403	55	0	0	260699	5,02507E+43	18072025	21072025	989,4	1	0	0	989,4	9	0	0	0	0	0	0	0	0	0	0	0	0									
	C170	1	PROD30544	IOGURTE NESTLE 1,25KG MORANGO	6	UN	91,26	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD31482	IOGURTE NINHO 850G MACA BANANA	3	UN	43,8	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD30542	IOGURTE NESTLE 170G MORANGO	4	UN	12,44	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD16417	IOGURTE NESTLE 170G LARJ/MEL	4	UN	15,56	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD16416	IOGURTE NESTLE 160G DESNATADO	4	UN	15,56	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD16418	IOGURTE NESTLE 170G NATURAL/MEL	4	UN	15,56	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD41134	IOGURTE GREGO NESTLE 90G CALDA MORANGO	4	UN	11,84	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	8	PROD30534	IOGURTE GREGO NESTLE 90G TORTA LIMAO	4	UN	11,84	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	9	PROD30549	IOGURTE CHAMYTO GO 100G MORANGO	12	UN	41,64	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	10	PROD39151	IOGURTE CHAMBINHO GO 100G MORANGO	12	UN	41,64	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	11	PROD31483	IOGURTE NINHO LANCHEIRINHA 100G MACA BANANA	12	UN	41,64	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	12	PROD30633	POLPA NINHO 540G 3 SABORES	18	UN	142,2	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	13	PROD17926	LEITE FERMENTADO CHAMITO 75G	18	UN	22,89	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	14	PROD16507	LEITE FERMENTADO CHAMITO 120G	24	UN	45,04	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	15	PROD16518	CHAMYTO CEREAL 130G CHOCOLATE	3	UN	13,59	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	16	PROD16395	REQUEIJAO NESTLE 200G LIGHT	15	UN	139,35	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	17	PROD7357	RAVIOLI MEZZANI 400G CARNE	1	UN	11,36	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	18	PROD7359	CAPELETTI MEZZANI 400G CARNE	3	UN	34,08	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
